"Network","NodesA","NodesB","Links","Weighted","Model","spect_rad","adj_energy","lpl_energy","algebraic_connectivity"
"RA_HP_047",16,36,85,TRUE,"NETWORK",6.11771929873753,55.9947479967294,140.929085075231,3.99168625170618e-15
"RA_HP_047",16,36,85,TRUE,"RND",4.52813323270944,67.0030190304257,118.051754707739,0.0118397147445208
"RA_HP_047",16,36,85,TRUE,"SYTR",5.89619104245077,59.0913871535014,140.277239545711,0.359162178732174
"RA_HP_047",16,36,85,TRUE,"SHUFFLE",4.29433753547184,68.1626882492426,112.636060928191,0.290203115259529
"RA_HP_047",16,36,85,TRUE,"VAZ",6.86073168034787,49.9778156313409,149.713395530116,0.474474172874456
"RA_HP_047",16,36,85,TRUE,"SWAP",6.95522526782249,50.1935326959554,148.089234289297,0.422178993183466
"RA_HP_042",16,36,85,TRUE,"NETWORK",6.11771929873753,55.9947479967294,140.929085075231,3.99168625170618e-15
"RA_HP_042",16,36,85,TRUE,"RND",4.5244236603735,66.9999651058037,118.069932944265,0.0151421361995525
"RA_HP_042",16,36,85,TRUE,"SYTR",5.88699409005492,59.0613350894522,140.818498687767,0.360057158269294
"RA_HP_042",16,36,85,TRUE,"SHUFFLE",4.28598253037968,68.1836654435729,112.65438713254,0.28638710490202
"RA_HP_042",16,36,85,TRUE,"VAZ",6.8696183198822,49.8845112652808,149.588619871726,0.474717681781348
"RA_HP_042",16,36,85,TRUE,"SWAP",6.95249376418436,50.3101205090823,148.038626387571,0.428300833437523
"RA_HP_006",16,36,85,TRUE,"NETWORK",6.11771929873753,55.9947479967294,140.929085075231,3.99168625170618e-15
"RA_HP_006",16,36,85,TRUE,"RND",4.52607142803013,66.9877566163909,118.098502496777,0.0114044825228065
"RA_HP_006",16,36,85,TRUE,"SYTR",5.90884128195276,58.9332824200514,140.931573426276,0.355433945304252
"RA_HP_006",16,36,85,TRUE,"SHUFFLE",4.29474291202768,68.1500488790408,112.565659338757,0.29111360438215
"RA_HP_006",16,36,85,TRUE,"VAZ",6.85711558541607,49.9674672616727,149.807239966502,0.468757791528699
"RA_HP_006",16,36,85,TRUE,"SWAP",6.9493097995506,50.207827232419,148.264622816146,0.426941136198651
