"MODEL","wstatistic","magnitude","networkvalue","modelmean","pvalue","quantile","distance","reldist"
"RND",0,"spect_rad",6.11771929873753,4.52607142803013,3.33085578663341e-165,100,1.5916478707074,0.260170137429459
"RND",500500,"adj_energy",55.9947479967294,66.9877566163909,3.33085578663341e-165,0,-10.9930086196615,-0.196322137574467
"RND",0,"lpl_energy",140.929085075231,118.098502496777,3.33085578663341e-165,100,22.8305825784536,0.162000502353834
"SYTR",82916,"spect_rad",6.11771929873753,5.90884128195276,6.08621612249863e-75,76.2,0.208878016784769,0.0341431187972082
"SYTR",480196,"adj_energy",55.9947479967294,58.9332824200514,8.45369054287191e-140,10.6,-2.93853442332195,-0.0524787507480807
"SYTR",251106,"lpl_energy",140.929085075231,140.931573426276,0.925391083423692,48.7,-0.00248835104562772,-1.76567600953302e-05
"SHUFFLE",0,"spect_rad",6.11771929873753,4.29474291202768,3.33085578663341e-165,100,1.82297638670984,0.297983006033971
"SHUFFLE",500500,"adj_energy",55.9947479967294,68.1500488790408,3.33085578663341e-165,0,-12.1553008823114,-0.217079303277181
"SHUFFLE",0,"lpl_energy",140.929085075231,112.565659338757,3.33085578663341e-165,100,28.3634257364733,0.201260270165895
"VAZ",500500,"spect_rad",6.11771929873753,6.85711558541607,3.33085578663341e-165,0,-0.739396286678539,-0.120861427367405
"VAZ",18,"adj_energy",55.9947479967294,49.9674672616727,3.51581713420839e-165,99.8,6.02728073505675,0.107640108236737
"VAZ",500442,"lpl_energy",140.929085075231,149.807239966502,3.96439392783515e-165,0.5,-8.87815489127169,-0.0629973215715717
"SWAP",500500,"spect_rad",6.11771929873753,6.9493097995506,3.33085578663341e-165,0,-0.831590500813069,-0.135931457493429
"SWAP",18,"adj_energy",55.9947479967294,50.207827232419,3.51581713420839e-165,99.8,5.78692076431046,0.10334756332234
"SWAP",500103,"lpl_energy",140.929085075231,148.264622816146,1.09602041917813e-164,1.3,-7.33553774091519,-0.0520512691684569
