"MODEL","wstatistic","magnitude","networkvalue","modelmean","pvalue","quantile","distance","reldist"
"RND",0,"spect_rad",6.11771929873753,4.52813323270944,3.33085578663341e-165,100,1.58958606602809,0.259833115644276
"RND",500500,"adj_energy",55.9947479967294,67.0030190304257,3.33085578663341e-165,0,-11.0082710336963,-0.196594706245293
"RND",0,"lpl_energy",140.929085075231,118.051754707739,3.33085578663341e-165,100,22.8773303674917,0.162332213788796
"SYTR",74830,"spect_rad",6.11771929873753,5.89619104245077,3.57192758234994e-82,76.8,0.221528256286761,0.0362109219905654
"SYTR",486408,"adj_energy",55.9947479967294,59.0913871535014,2.4098414120216e-147,8.7,-3.09663915677193,-0.0553023143697834
"SYTR",214957,"lpl_energy",140.929085075231,140.277239545711,0.000111910213098489,54.7,0.651845529519306,0.00462534422309872
"SHUFFLE",0,"spect_rad",6.11771929873753,4.29433753547184,3.33085578663341e-165,100,1.82338176326569,0.298049268726986
"SHUFFLE",500500,"adj_energy",55.9947479967294,68.1626882492426,3.33085578663341e-165,0,-12.1679402525131,-0.217305027486218
"SHUFFLE",0,"lpl_energy",140.929085075231,112.636060928191,3.33085578663341e-165,100,28.2930241470395,0.200760716866473
"VAZ",500500,"spect_rad",6.11771929873753,6.86073168034787,3.33085578663341e-165,0,-0.743012381610339,-0.121452512828379
"VAZ",11,"adj_energy",55.9947479967294,49.9778156313409,3.44269922487514e-165,99.8,6.01693236538853,0.107455298588717
"VAZ",500371,"lpl_energy",140.929085075231,149.713395530116,4.90595436508611e-165,0.8,-8.78431045488551,-0.0623314232842446
"SWAP",500500,"spect_rad",6.11771929873753,6.95522526782249,3.33085578663341e-165,0,-0.837505969084966,-0.136898397619812
"SWAP",15,"adj_energy",55.9947479967294,50.1935326959554,3.48429288301059e-165,99.8,5.80121530077402,0.103602846844009
"SWAP",499978,"lpl_energy",140.929085075231,148.089234289297,1.59409876194763e-164,1.6,-7.16014921406651,-0.0508067529867542
