"","Daucus.carota.carota","Sonchus.tenerrinus","Carpobrotus.sp1.M_PL_058","Opuntia.stricta","Cistus.monspeliensis","Lavandula.stoechas","Cistus.salvifolius","Cistus.albidus","Urospermum.picrioides","Rosmarinus.officinalis","Aetheorrina.bulbosa","Galactites.tomentosa","Eryngium.campestre","Convolvulus.althaeoides","Scabiosa.stellata","Sedum.sediforme","Thymelaea.hirusta","Ruta.chalepensis","Helichrysum.stoechas","Psoralea.bituminosa","Dorychnium.pentaphylum","Alyssum.maritimum","Helianthemum.guttatum","Lathyrus.clymenum","Equium.sabulicola","Euphorbia.segatalis","Allium.ampeloprasum","Brassica.fruticulosa","Dianthus.caryophillus","Hypericum.perfolatum","Linum.sp1.M_PL_058","Vicea.lutea"
"Megachile sp2 M_PL_058",0,0,-41.9186377237877,0,0,-599.214808521004,0,-106.160283399925,0,0,0,0,0,0,0,0,-112.599984049633,0,0,-1692.41262689687,0,0,0,0,0,0,0,0,0,0,0,0
"Plagiolepsis pigmaea",0,0,3.25254518046966,0,7.69489574040278,0,10.6426436108394,0,0,0,0,0,0,6.58224423542153,0,0,0,0,0,0,0,0,0,0,0,-50.7161213586997,0,0,0,0,0,0
"Anthidium sp1 M_PL_058",0,0,0,108.179134163358,0,39.6713692214408,0,0,0,0,0,169.173728653715,0,0,0,27.7069742321778,0,0,0,1792.75479155454,0,0,0,0,0,0,0,0,0,161.459865282432,0,0
"Oedemera nobilis",0,0,5.51057733365561,0,0,0,18.0311440419707,13.955712380083,13.7800627617608,0,0,20.9946301075288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus sp1 M_PL_058",0,0,-22.8880759985031,0,0,-122.69191123792,0,0,-57.235223218634,0,0,-174.401577318146,0,-46.3190818088138,-62.4524559698446,-28.563182045222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia sp1 M_PL_058",0,0,6.40671008632552,0,0,0,5.24084435292048,16.2251970807609,0,0,0,97.635148061228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.6340041345745,0
"Oedemera barbara",15.1153442211214,20.7097401739068,0,0,0,0,0,0,0,0,0,0,40.1661439847615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus aethiops",-30.6053074093819,0,0,-171.488579311783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus sp2 M_PL_058",25.9914587498913,16.0250641539811,0,0,8.41816677720513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichodes apiarius",-38.6416352587104,-7.9415150696786,0,0,0,0,0,0,0,0,0,0,0,0,-10.8259112961661,-9.90265219696493,0,-5.56079443498719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada sp1 M_PL_058",0,24.1858127446159,0,0,0,0,0,0,0,29.5252598612229,16.3009393262363,0,0,0,0,10.0528127445647,0,0,0,0,0,0,0,0,0,-251.213504482862,0,0,0,0,0,0
"Polistes gallicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1121135071301,1.57994287174179,0,0,0,0,0,0,0,-35.1545434644084,0,0,0,0,0,0
"Unidentified sp37 M_PL_058",0,-3.15325115972495,0,0,0,0,-15.4641788922174,-7.97929154547239,0,0,0,0,0,0,0,0,0,0,0,0,-39.9209228250977,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp41 M_PL_058",-10.8493677539056,0,-8.91175318210784,0,0,0,0,-11.2846492011103,0,0,-9.01686345694821,0,0,-9.01745137356687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conophorus virescens",0,0,0,0,0,-38.3406703174725,-11.7017076079409,0,0,0,0,0,0,0,-9.75805577033113,0,0,0,0,-288.770053281957,0,0,0,0,0,0,0,0,0,0,0,0
"Scolia sp1 M_PL_058",-3.45187181688107,-2.83767411692864,0,-5.52618057781572,0,0,0,0,0,0,0,0,0,0,0,-7.07686117364785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp46 M_PL_058",0,0,0,0,3.13557769070928,0,0,0,0,0,0,0,0,0,0,0,10.6804754770123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halyctus sp1 M_PL_058",0,0,-6.98638294345686,0,0,-4.16118019040318,-3.81002054650023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus nigritus",0,0,0,-11.327947740648,0,0,0,0,0,0,0,0,-56.4084515767633,0,0,0,0,-8.14614536708951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria sp1 M_PL_058",0,57.0395969382507,0,0,89.8908426169634,0,0,0,0,104.448149402557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp42 M_PL_058",0,0,0,0,0,0,138.389225860402,214.220487409409,0,930.102444421137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callophrys rubi",0,0,0,0,0,29.5717475413138,0,0,0,60.6589706658608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphecodes sp1 M_PL_058",0,-2.05219990859469,0,0,-6.46827778961123,-3.66400379422881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthophora sp1 M_PL_058",0,0,0,0,0,-14.2421672627027,0,0,-9.96586018801023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratina cucurbitina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94080032954529,0,0,0,0,0,0,0,0,0,27.1911495629469,0,0,0,0,0,0,0
"Unidentified sp39 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,19.0537656594025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp53 M_PL_058",0,0,0,0,-3.1903426754837,-3.61438640951286,0,0,0,0,0,0,0,0,0,0,-5.43350860189686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp61 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37151985125935,0,0,0,0,0,0,2.10540773066904,0,0,0,0,0,0,0,0,0
"Unidentified sp64 M_PL_058",0,0,0,0,0,24.9869617777285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp40 M_PL_058",0,-2.89100962669604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.75946122001308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp45 M_PL_058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26570111447212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp49 M_PL_058",-7.48882196726715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp62 M_PL_058",0,29.2593496389572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanesa atlantica",0,0,0,0,0,0,0,0,0,0,0,0,78.3170109885582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
