"","Cornus.canadensis","Maianthemum.canadense","Oxalis.montana","Chimaphila.umbellata","Aralia.nudicaulis","Linnaea.borealis","Clintonia.borealis","Cypripedium.acaule","Pyrola.secunda","Trillium.undulatum","Trientalis.borealis","Medeola.virginiana"
"Cateres pennatus",0,0,0,0,-2.62617943343143,0,0,0,0,0,0,0
"Chalcosyrphus curvarius",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Chalcosyrphus inarmatus",-1.11715868891615,0,0,0,0,0,0,0,0,0,0,0
"Chalcosyrphus memorum",-1.11715868891615,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia slossonae",0,-5.30781454434066,0,0,0,0,0,0,0,0,0,0
"Cheilosia tristis",0,0,0,0,-2.62617943343143,0,0,0,0,0,0,0
"Dalopius sp1 M_PL_004",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Ephemerella sp1 M_PL_004",0,0,0,0,0,0,0,0,0,0,0,-32542265143865148
"Eremomyioides setosa",0,-5.30781454434071,0,0,0,0,0,0,0,0,0,0
"Eudasyphora cyanicolor",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Eupyses vestris",0,0,0,0,0,-15.983116922615,0,0,0,0,0,0
"Evodinus monticola",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Halictus confusus",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Hoplitis producta",0,0,0,0,0,0,0,0,0.667369220574411,0,0,0
"Hylaeus basalis",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus stevensi",0,0,0,0,0,-15.9831169226151,0,0,0,0,0,0
"Judolia montivagans",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Lygus refidorsus",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Nomada cuneata",0,-5.30781454434068,0,0,0,0,0,0,0,0,0,0
"Nomada sayi",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Orsodacne atra",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Osmia lignaria",0,0,0,0,0,0,34.6619976326461,0,0,0,0,0
"Osmia pumila",0,0,0,0,0,-15.9831169226149,0,0,0,0,0,0
"Passaloecus sp1 M_PL_004",0,0,0,0,0,-15.983116922615,0,0,0,0,0,0
"Pegohylemyia fugax",0,-5.30781454434069,0,0,0,0,0,0,0,0,0,0
"Phalaenophana pyramusalis",0,-5.30781454434071,0,0,0,0,0,0,0,0,0,0
"Pieris napi",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Poanes hobomok",0,0,0,0,0,0,34.6619976326464,0,0,0,0,0
"Psithyrus sp1 M_PL_004",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Pyrophaena rosarum",0,0,0,0,0,-15.983116922615,0,0,0,0,0,0
"Rhopalum sp1 M_PL_004",0,0,0,0,0,0,34.6619976326458,0,0,0,0,0
"Sphaerophoria longipilosa",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Syritta pipiens",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Syritta rectus",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Temnostoma alternans",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
"Thamnotettix confinis",0,-5.30781454434071,0,0,0,0,0,0,0,0,0,0
"Trachysida aspera",0,0,0,0,-2.62617943343142,0,0,0,0,0,0,0
"Vespula arenaria",0,0,0,0,0,0,0,0,0.667369220574411,0,0,0
"Xylota sp1 M_PL_004",-1.11715868891616,0,0,0,0,0,0,0,0,0,0,0
