"","Astilbe.thunbergii","Reynoutria.japonica","Serratula.coronata.insularis","Scabiosa.japonica","Veronicastrum.sibiricum.japonicum","Rodgersia.podophylla","Geranium.eriostemon.","Filipendula.multifuga","Cirsium.effusum","Viburnum.furcatum","Iris.sanguinea","Lonicera.alpigena.","Angelica.pubescens","Cimicifuga.simplex","Prunus.nipponica","Elaeagnus.montana","Hosta.sieboldiana","Fragaria.nipponica","Ranunculus.japonicus","Oxalis.acetosella","Trollius.hondoensis","Libanotis.coreana","Solidago.virgaurea.asiatica","Veratrum.album.oxysepalum","Angelica.polymorpha","Ligularia.dentata","Rubus.pungens.","Anaphalis.margaritacea","Hydrangea.paniculata","Potentilla.freyniana","Pyrola.alpina","Weigela.decora","Philadelphus.satsumi","Taraxacum.hondoense","Eupatorium.chinense.sachalinense","Lychnis.gracillima","Acer.shirasawanum","Cacalia.adenostyloides","Chamaenerion.angustifolium","Patrinia.villosa","Cynanchum.ascyrifolium","Senecio.cannabifolius","Acer.ukurunduense","Aconitum.japonicum.montanum","Euonymus.sieboldianus","Malus.sieboldii","Prunus.maximowiczii","Aconitum.senanense","Enkianthus.campanulatus","Polygonatum.lasianthum","Sorbus.commixta","Aquilegia.buergeriana","Aster.ageratoides.ovatus","Polemonium.caeruleum.yezoense","Sedum.aizoon","Viburnum.opulus.","Agrostis.clavata","Arabis.lyrata.kamtschatica","Euonymus.macropterus","Pedicularis.resupinata.","Pyrola.incarnata","Senecio.nemorensis","Rhododendron.wadanum","Synurus.pungens","Aster.ageratoides.amplexifolius","Aster.glehni","Dianthus.superbus.longicalycinus","Acer.japonicum","Cacalia.hastata.farfaraefolia","Cypripedium.guttatum.","Ixeris.dentata","Campanula.punctata.","Clinopodium.chinense.grandiflorum","Meehania.urticifolia","Picris.hieracioides.japonica","Adenophora.triphylla","Patrinia.triloba.palmata","Poa.pratensis","Ribes.maximowiczianum","Rubus.idaeus.f.marmoratus","Thalictrum.filamentosum.tenerum","Veratrum.maackii","Viola.grypoceras","Achillea.alpina.","Arabis.hirsuta","Euphrasia.maximowiczii","Gymnadenia.conopsea","Menziesia.pentandra","Polygonatum.macranthum","Pseudostellaria.heterantha","Rhododendron.degronianum"
"Syrphus ribessii ",0,0,377.214024299152,397.955733933901,0,0,0,0,190.035517374514,0,0,0,0,543.143726070921,1043.96823860584,0,0,0,0,0,0,0,0,0,1327.78971891486,0,0,0,0,0,0,215.767749355723,0,0,0,0,0,0,0,0,0,-6892.29921648319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp25 M_PL_056",0,3.48120403320913,0,0,0,0,0,0,0,0,0,0,0,0,5.88271184365555,0,0,0,0,0,0,0,0,0,44.8921950869444,0,0,0,0,7.77429555959237,0,0,0,0,0,0,12.3787322068155,0,0,0,0,0,0,0,4.66439534218506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp35 M_PL_056",0,3.05450129426996,0,0,0,0,0,0,0,0,0,0,0,10.7417708549489,0,0,0,0,0,0,0,0,14.7082833419651,0,0,0,0,3.10447794676808,0,0,0,0,0,0,1098.38826051457,0,10.8614298921984,0,0,8.42785654717535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp6 M_PL_056",3.61088207924955,9.3030901036542,0,0,0,0,0,19.4045575406104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5461139714034,39.9896254150963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50162091936709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum nipponense ",0,0,9.41169586802665,39.7168513941874,0,0,0,0,0,0,0,0,0,0,0,0,17.8184673561424,0,44.4130390685185,0,0,0,0,0,0,0,0,0,0,0,0,10.7670463145568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudalosterna misella ",5.51960213495808,0,0,0,0,0,0,0,0,0,0,0.64166782930667,0,0,0,0,0,0,0,0,0,0,0,5.17665475886179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhogogaster varipes",7.46272262374535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79961762748106,0,0,0,0,2.53265652088388,0,0,0,0,0,0,11.6879497217057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp1 M_PL_056",0,-38.333506709879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-363.577907799415,-220.902074807384,0,0,0,-61.5288742593004,0,0,0,0,0,0,-85.6071658412657,0,0,0,-52.9164683919161,0,0,0,0,0,0,0,1710.6591160669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.982351627937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Didea fasciata ",0,0,-230.045035219051,-80.8981417543524,0,0,-107.766680302517,0,0,0,0,0,-135.930364770022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-140.231164811596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.315296815456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum problematicum",-13.9422286074026,0,0,0,-21.191385542626,0,0,-74.9242903309971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.2542666752924,0,0,0,0,0,0,0,0,0,0,-161.143112652463,-24.7778118497198,0,0,0,0,0,0,0,0,0,100.334861521029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pachytodes cometes ",3.57384377671366,0,0,0,0,0,0,0,0,0,0,0,9.9660485905734,16.1903061171504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06435425920434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31966114717631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp37 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5080099226448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9393411628642,0,0,7.79964941765912,0,0,0,0,0,0,0,0,0,17.2482414690929,8.68017031608763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bornbus consobrinus ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41240114025299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp12 M_PL_056",6.03702522514295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97717762834395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum atroglaucum ",0,0,0,8.44151554046507,0,0,0,0,0,0,0,0,7.0919940912332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14866792528582,0,0,0,0,0,0,0,0,0,0,0,-13.8290927584414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostoma scalare",0,0,0,0,0,0,-4.11785349499812,0,0,0,0,0,0,0,0,0,0,0,-13.8267656970189,0,0,0,0,0,-41.2552723591692,0,-27.4881187997462,0,0,0,0,0,0,-6.62432537681419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.02927345141023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.813667712816,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tachina jakovlevi ",3.78424649203067,2.43743670640134,0,0,0,0,0,0,0,0,0,0,26.3819481030622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp54 M_PL_056",3.24196208800323,0,0,0,4.92759589991059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8613727571634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1914852899753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp84 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-274.033234152029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolichovespula adulterina ",0,2.82667107622362,0,0,0,0,0,0,0,0,0,0,9.17846475047046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72340560698724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptura arcuata ",16.5214416483867,0,0,13.7096840022938,0,0,0,44.3923753370792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4949210905449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epuraea sp1 M_PL_056",0,0,0,0,0,0,0,0,0,5.05396735266085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum albipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6280895131034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23115312697138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58504109262854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zophoessa callipteris ",0,0,0,-11.8648928491695,-21.7325891552111,0,0,0,0,0,0,0,0,-32.3872308501555,0,0,0,0,0,0,0,0,0,0,0,-11.0937655014055,0,0,0,0,0,0,0,0,-1655.86078109256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byturus sp1 M_PL_056",0,0,0,0,0,0,0,0,0,-49.0471287446749,0,-17.7704330751744,0,0,0,0,0,-311.277071161302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.4591320805953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.066318799747,0,0,0,0
"Cheilosia sp14 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8132193248174,0,0,0,0,0,0,0,0,0,14.8013195389503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp16 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38634769712549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-118.295099826374,0,0,7.10358693084045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5089377649288
"Corymbia variicornis ",7.75560533282522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29006674405307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metasyrphus ferquens ",0,0,-18.2841657652661,-6.42984984453198,0,0,0,-6.94001669699965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakanea vicaria ",0,0,0,0,28.8651063476389,0,0,102.055507605928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6219288831008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus sp1 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.4475319503405,-23.6448540460802,0,0,0,0,0,0,-10.3850389059902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.2479307144263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.06811978699653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp59 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,1.88310296958989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92132897947466,0,0,0,0,0,0,0,0,0,0,0,-132.873637121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7504988626358,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp73 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96507642531757,0,0,0,0,0,7.52979794719133,0,0,0,0,0,0,7.32511912494448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp93 M_PL_056",0,0,0,-2.80496747920197,-2.5688898582633,0,0,0,0,0,0,0,-4.71309036706594,0,0,-5.79512625688077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42857952488084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adelphocoris rubripes ",0,0,0,0,0,0,0,0,0,0,0,0,0,21.4923006536705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.324948832262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02009471922112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anastrangalis acotodes ",0,6.2695517613644,0,0,0,0,0,8.71809807649788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthocharis cardamines ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.7449856932502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1663973620382,0,0,0,0,0,0,0,0
"Byturus ohtai ",0,0,0,0,0,0,0,0,0,9.47398966724696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4696315358541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphora sp1 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,3.01372584924217,0,39.1470907203159,0,0,0,0,0,0,0,25.1371112357659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculio convexus ",0,0,0,0,0,0,0,0,0,4.47200485445418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dexopollenia flava ",0,21.5648129674825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6970268059105,0,0,0,0,0,0,0,0,0,1938.6583210907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ectinohoplia obducta ",0,3.36959003774446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inachis io",0,0,-7.12475012830855,-3.75825789043053,-3.44194742044274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligoneura itoi ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-498.997318399013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.265907992144,0,0,0,0,0,0,0,0,-330.474318858215,0,0,0,0,0,0,0,0,0,0,0,0,-242.924755420946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onesia sp1 M_PL_056",0,7.84223632325302,0,0,0,0,0,0,0,0,0,0,33.9526308352795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1411140446252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panorpodes paradoxa ",0,0,0,0,0,0,0,12.3083253258599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8316711724787,0,0,0,0,0,10.7585056210031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria meuthastri ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0487970466788,0,0,0,0,0,0,0,0,0,0,9.33864806713265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp118 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,1.37210750339867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp77 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0188939405588,0,0,0,0,0,0,0,0,0,0,0,25.6519628311628,0,0,0,0,0,-527.343091082238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.206837878797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp87 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66705049509615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcis angulifera ",0,0,0,0,0,0,0,0,0,0,0,0,0,-235.458846345601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-362.56263916831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-194.681844775261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena lapponica",0,0,0,0,0,0,0,0,0,0,0,3.14753804515071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1703425123997,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.7740237930593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp11 M_PL_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-135.807683743298,0,0,0,0,0,0,0,0,0,-14.5530382739289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.383676975563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp2 M_PL_056",0,-4.57401987918349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.4324736166569,-20.6575821408117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp9 M_PL_056",0,0,0,0,0,0,66.2573129610574,0,0,0,0,0,0,0,0,0,0,0,0,0,619.801177002856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias erate ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.3063418848588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.6868424510601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.42447707269,0,0,0,0,0,0
"Conops flavipes",0,0,0,15.4542829513585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27446866290703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corymbia succedanea ",0,0,0,0,0,0,0,0,0,0,0,0,20.5163804308311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53753554479805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus virgatus ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.362242947389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1589.26787632601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-150.328392615086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
