"","Tripleurospermum inodorum","Silene dioica","Cirsium arvense","Chaerophyllum temulentum","Angelica sylvestris","Tanacetum vulgare","Melilotus albus","Trifolium repens","Achillea millefolium","Cirsium vulgare","Lapsana communis","Senecio jacobea","Verbascum thapsus","Stachys sylvatica","Vicia hirsuta","Eupatorium cannabinum","Myosotis palustris","Stachys palustris","Sonchus palustris","Echium vulgare","Epilobium montanum","Geranium robertianum","Ranunculus repens","Aegopodium podagraria","Daucus carota","Juncus effusus","Lychnis flos-cuculi","Sonchus arvensis","Trifolium dubium","Vicia sepium","Allium scorodoprasum","Calystegia sepium","Chamomilla recutita","Malva sylvestris","Prunella vulgaris","Chrysanthemum maximum","Veronica agrestis","Cerastium glomeratum","Hypericum perforatum"
"Ceuthorrhynchus assimilis ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coccinella septempunctata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Meliscaeva cinctella",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Syrphus ribesii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thymelicus sylvestris",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Apion hookeri ",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus pratorum",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dasytes plumbeus ",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostoma scalare",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pieris napi",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria menthastri",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Undefined sp11 M_PL_018",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
