"","Crataegus monogyna","Juniperus communis","Juniperus sabina","Rosa canina","Berberis vulgaris","Juniperus phoenicea","Hedera helix","Lonicera arborea","Taxus baccata","Prunus prostrata","Rhamnus myrtifolius","Rhamnus saxatilis"
"Turdus merula",1,1,1,1,1,1,1,1,1,1,1,0
"Turdus viscivorus",1,1,1,1,1,1,1,0,1,0,0,0
"Turdus iliacus",1,1,1,1,1,0,0,0,0,0,0,1
"Turdus torquatus",1,1,1,1,0,1,0,1,0,0,0,0
