"","Salix repens","Calluna vulgaris","Potentilla erecta","Solidago virgaurea","Erica tetralix","Vaccinium uliginosum","Hypochoeris radicata","Galium saxatile","Vaccinium vitis-idaea","Hieracium umbellatum","Vaccinium myrtillus","Scorzonea humilis","Genista anglica","Trientalis europaea","Salix aurita","Campanula rotundifolia","Hieracium pilosella","Empetrum nigrum","Epilobium angustifolium"
"Helophilus pendulus",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inachis io",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mellinus arvensis",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micropterix aruncella",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mimesa equestris",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrmica ruginodis",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada panzeri",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Nomada sp1 M_PL_047",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaonia angelicae",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaonia incana",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllopertha horticola",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarcophaga sp1 M_PL_047",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scatophaga inquinata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sepsis cynipsea",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sericomyia silentis",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria scripta",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tricholinum sp1 M_PL_047",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp16 M_PL_047",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_047",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_047",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_047",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Zaira cinerea",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zophomyia temula",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adela cuprella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adia cinerella ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ammophila pubescens",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anarta sp1 M_PL_047",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Andrena barbilabris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena fuscipes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena tarsata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena wilkella",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aplotarsus incanus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arge ustulata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athous subfuscus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Autographa bractea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bibio lanigerus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus cryptarum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus muscorum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus terrestris",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliopum aeneum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalops obtusinervis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerceris rybyensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia albitarsis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia urbana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysomela collaris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysotoxum arcuatum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysotoxum bicinctum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coenosia femoralis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coenosia sp1 M_PL_047",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Coenosia tigrina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colletes cunicularius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Colletes succinctus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conops flavipes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conops quadrifasciatus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crossocerus leucostoma",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cynomya mortuorum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dilophus humeralis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolichovespula norwegica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egle brevicornis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egle minuta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empis tessellata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entomophaga nigrohalterata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalinus sepulchralis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis arbustorum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis interrupta",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis intricaria",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis pertinax",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ernestia rudis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formica sanguinea",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Halictus confusus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedychrum nobile",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hercostomus sp1 M_PL_047",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heterostylodes pratensis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hydrophoria lancifer",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrotaea similis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus annularis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus brevicornis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus sp1 M_PL_047",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lasioglossum leucopus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sexmaculatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiomma picipes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leucozona lucorum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lucilia bufonivora",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lycaena virgaureae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lycophotia porphyrea",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile versicolor",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesochorus sp1 M_PL_047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microgaster sp1 M_PL_047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
