"","Berberis vulgaris","Crataegus monogyna","Hedera helix","Taxus baccata","Rosa canina","Lonicera arborea","Viscum album","Juniperus communis"
"Turdus torquatus",1,1,1,1,1,1,1,1
"Turdus merula",1,1,1,1,1,1,0,0
"Turdus viscivorus",1,1,1,1,1,0,1,0
"Turdus iliacus",1,1,1,1,0,0,0,0
"Turdus philomelos",1,1,0,0,0,0,0,0
