"","Cornus canadensis","Maianthemum canadense","Oxalis montana","Chimaphila umbellata","Aralia nudicaulis","Linnaea borealis","Clintonia borealis","Cypripedium acaule","Pyrola secunda","Trillium undulatum","Trientalis borealis","Medeola virginiana"
"Passaloecus sp1 M_PL_004",0,0,0,0,0,1,0,0,0,0,0,0
"Pegohylemyia fugax",0,1,0,0,0,0,0,0,0,0,0,0
"Phalaenophana pyramusalis",0,1,0,0,0,0,0,0,0,0,0,0
"Pieris napi",1,0,0,0,0,0,0,0,0,0,0,0
"Poanes hobomok",0,0,0,0,0,0,1,0,0,0,0,0
"Psithyrus sp1 M_PL_004",1,0,0,0,0,0,0,0,0,0,0,0
"Pyrophaena rosarum",0,0,0,0,0,1,0,0,0,0,0,0
"Rhopalum sp1 M_PL_004",0,0,0,0,0,0,1,0,0,0,0,0
"Sphaerophoria longipilosa",1,0,0,0,0,0,0,0,0,0,0,0
"Syritta pipiens",1,0,0,0,0,0,0,0,0,0,0,0
"Syritta rectus",1,0,0,0,0,0,0,0,0,0,0,0
"Temnostoma alternans",1,0,0,0,0,0,0,0,0,0,0,0
"Thamnotettix confinis",0,1,0,0,0,0,0,0,0,0,0,0
"Trachysida aspera",0,0,0,0,1,0,0,0,0,0,0,0
"Vespula arenaria",0,0,0,0,0,0,0,0,1,0,0,0
"Xylota sp1 M_PL_004",1,0,0,0,0,0,0,0,0,0,0,0
